Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date
20365034,/m/04zyk2s,Mera ur kärlekens språk,1970
4724834,/m/0ck650,Asterix and the Vikings,2006
9764248,/m/02prgzz,Fantômas,1964
25756832,/m/09v5v93,The Inugamis,1976
25496318,/m/09rtnc_,Wog Boy 2: Kings of Mykonos,2010
18837293,/m/04gr2c3,Ice Blues,2008
1127963,/m/048p4k,The Great Escape II: The Untold Story,1988
7452100,/m/0kv7x7,Family Troubles,1943
19554323,/m/04n10wq,Still Not Quite Human,1992
12076940,/m/02vp1gb,God of Gamblers 3: The Early Stage,1997
29337282,/m/0ds03bv,"Papa, maman, ma femme et moi",1955
27352697,/m/0bx_fx6,Free and Easy II,1989
2251010,/m/06z86x,The Road To Memphis,2004
26192837,/m/0b74_jy,Bowery Bombshell,1946
31958798,/m/0gvr1s1,Paglu,2011
20906855,/m/05b1vcp,"All's Well, Ends Well 2009",2009
15765881,/m/03nspw1,The Stepford Husbands,1996
22951505,/m/06411y0,"Grendizer, Getter Robot G, Great Mazinger: Kessen! Daikaijuu",1976
28035306,/m/0cmcjw_,Caesar and Otto's Summer Camp Massacre,2009
7140121,/m/0h6bt1,Fist of Fury II,1977
7143242,/m/0h6j8k,Fist of Fury III,1979
29816737,/m/0fq0kjw,Uppukandam Brothers Back in Action,2011
16643103,/m/03yj8vd,Head Case,2007
34196788,/m/0hrbjwj,Vares: Private Eye,2004
32986603,/m/0h55gh_,Always Sanchōme no Yūhi '64,2012
15676631,/m/03qcj5y,Licensed to Kill,1965
28048549,/m/0cm9lrd,Flirting Scholar 2,2010
31931578,/m/0gvvv3p,New Tale of Zatoichi,1963
24099991,/m/07kbdyx,Shiva,2008
36012788,/m/0n40qmp,The Hunger Games: Catching Fire,2013
19524540,/m/04n22xk,Girls Without Tomorrow 1992,1992
29865122,/m/0fqs32p,Ex,2009
19524078,/m/04n02y1,Girls Without Tomorrow,1988
18247486,/m/04crgtk,Not Quite Human II,1989
32071061,/m/0gwzqm4,Blondie Meets the Boss,1939
7297949,/m/0kv49n,The Saint of Gamblers,1995
7661542,/m/0kvdj7,The Pretender: Island of the Haunted,2001
30534369,/m/0g9xtwb,Sister Street Fighter: Hanging by a Thread,1974
32312198,/m/0gyw77p,Keroro Gunso the Super Movie 4: Gekishin Dragon Warriors,2009
33035337,/m/0h52qc0,Elias og jakten på havets gull,2010
34158049,/m/0hr0b1z,The Stig-Helmer Story,2011
33068050,/m/0h54277,Evil Dead Trap 3: Broken Love Killer,1993
21429198,/m/05f7mt0,Magic Cop,1990
26743041,/m/0bm8j5l,Gincho Nagaremono: Mesuneko Bakuchi,1972
21450270,/m/05f60gj,Magic Kid,1993
14214911,/m/03cy0dz,On the Trail of the Bremen Town Musicians,1973
28145298,/m/0cm95wt,"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011
7741916,/m/0kvg9z,Buppah Rahtree,2003
34541698,/m/0gxrd70,Untitled Chronicles of Riddick Sequel,2013
4213908,/m/0bq9n8,Hercules And The Lost Kingdom,1994
30478883,/m/0g9xyj7,Inu to Anata no Monogatari,2011
17417457,/m/047dk2n,4bia,2008
15721612,/m/03qck06,The best Movie,2008
34600556,/m/0gfqnj1,Mystery House,1938
14563330,/m/03d8047,General's Son,1999
16070571,/m/03qn8dl,Of The People,2008
26364077,/m/0bbtt11,Fighting Fools,1949
18726475,/m/04gsnw0,The Turkish Gambit,2005
17516197,/m/047my4p,The Adventures of Tarzan,1921
8280952,/m/026yw3c,Frosty the Snowman,1969
30208074,/m/0g59pxj,Single Santa seeks Mrs Claus,2004
32987753,/m/0h53g62,The Hunters 2,2011
10448175,/m/02qdftb,Azazel,2002
31230842,/m/0gjc0bx,Din of Celestial Birds,2006
26304500,/m/0b75_0w,Trouble Makers,1948
26639272,/m/0bh7wlt,Bowery Battalion,1951
26526438,/m/0bh7_pz,MLA Fatakeshto,2006
4213861,/m/0bq9l6,Hercules And The Amazon Women,1994
18647106,/m/04gqzrc,Les Branchés à Saint-Tropez,1983
6499947,/m/0g7rbx,Doraemon The Movie 2006,2006
23797370,/m/06_wx11,All About My Dog,2005
36281191,/m/0k3p4hq,Gangs of Wasseypur Part 2,2013
29294233,/m/0ds7tkv,"Papa, Mama, the Maid and I",1954
14680001,/m/03gsx1p,Ultraman Cosmos 2: The Blue Planet,2002
5872365,/m/0fb373,Trail Mix-Up,1993
19503076,/m/04n53jq,Roxy Hunter and the Horrific Halloween,2008
36673810,/m/0kv640t,Grand Masti,2013
5040040,/m/0d012q,Thumbs!,2001
23837717,/m/06_wg2s,"The Lion, The Witch & The Wardrobe",1988
11892602,/m/02rx17v,Snake Eater II: The Drug Buster,1990
33456976,/m/0h96gfh,"Keroro Gunso the Super Movie: Creation! Ultimate Keroro, Wonder Space-Time Island",2010
13569575,/m/03c9p0p,The Spider Returns,1941
26903312,/m/0bmk79w,Tsuribaka Nisshi 6,1993
5219836,/m/0d8gny,The Muppet Musicians of Bremen,1972
17918253,/m/047sq_8,Witchcraft IIX: Salem's Ghost,1996
26391877,/m/0bbvr7t,Angels in Disguise,1949
6210675,/m/0fwzkg,Pirates of Malaysia,1964
26441608,/m/0bbvnmq,Kamen Rider × Kamen Rider × Kamen Rider The Movie: Cho Den-O Trilogy,
33329888,/m/0h7qbs_,Cocaine Cowboys 2,2008
30325035,/m/0g55yqj,Robot Chicken: Star Wars Episode III,2010
35300735,/m/0n3xxpd,The Hangover Part III,2013
17249476,/m/043nwy8,A Pistol for Ringo,1965
23026426,/m/064pdzy,Gidget's Summer Reunion,1985
29181320,/m/0dlkzdr,2112: The Birth of Doraemon,1995
18647030,/m/04gh2gw,Deux enfoirés à Saint-Tropez,1986
27500833,/m/0c015zb,The Haunting in Georgia,2013
15252331,/m/03hn7rm,Top Bet,1991
9640679,/m/02pmt4k,The Children of Golzow,2007
15086382,/m/03hg_55,Nobita and the Green Giant Legend 2008,2008
26024751,/m/0b6ntpq,Troublesome Night 6,1999
26894335,/m/0bm9lsr,Tsuribaka Nisshi 4,1991
31323077,/m/0gjbp7p,Abenteuer in Bamsdorf,1958
20631892,/m/0521wt4,Sagar alias Jackie,2009
7743371,/m/0kvgc2,Buppah Rahtree Phase 2: Rahtree Returns,2005
30221032,/m/0g55lq6,"All's Well, Ends Well 2011",2011
9362631,/m/0285yxn,"All's Well, Ends Well 1997",1997
24915299,/m/09g6bz7,The Treasures of Agra,1983
10801014,/m/02qqg4t,Amici miei Atto II,1982
23686859,/m/06zpn5f,Beck – Sista vittnet,2002
28587289,/m/0czbx3z,Göta kanal 3: Kanalkungens hemlighet,2009
26903360,/m/0bmjpgl,Tsuribaka Nisshi,1988
24073925,/m/07kfp_x,In Ghost House Inn: Harihar Nagar-3,
15432396,/m/03m8rjq,Codename: Robotech,1985
17131575,/m/043nh1s,Chameleon 3: Dark Angel,2000
33208046,/m/0h66k2q,À toi de faire... mignonne,1963
33008520,/m/0h55hq_,Me and Morrison,2001
24956484,/m/09gffhd,The Return of the Shaggy Dog,1987
29783580,/m/0fq1n5j,Si Agimat at si Enteng Kabisote,2010
4289078,/m/0bv9kg,The Cheetah Girls 2,2006
33288456,/m/0h7n_p1,Unfair 2: The Answer,2011
7117238,/m/0h4zrk,Meatballs III: Summer Job,1987
33244885,/m/0h7nydh,At the Beginning of Glorious Days,1980
11916661,/m/02rxxld,Call for Love,2007
31329569,/m/0gjb5gv,The Miracle Fighters,1982
29512811,/m/0dsbtx6,De blå ulvene,1993
33911045,/m/0hnd72h,Fastest,2011
13387891,/m/0g636h,Iron Warrior,1987
35826303,/m/026_zsw,"Shake, Rattle & Roll",1984
26024589,/m/0b6m63w,Troublesome Night 5,1999
26371114,/m/0bbvwjg,Ricky Rapper and the Bicycle Thief,2009
33401569,/m/0h944xd,The Youth of Peter the Great,1980
6659784,/m/03bxm08,Not Quite Human,1987
30775333,/m/0gfhmjw,Dilber's Eight Days,2008
25851476,/m/09v94kd,A Distant Cry from Spring,1980
30736519,/m/0gfj58r,Bang Boom Bang,1999
20644472,/m/051wwd0,Robot Chicken: Star Wars Episode II,2008
36302917,/m/0k2857c,Samrajyam 2 -Son Of Alexander,2015
32944042,/m/0h5444f,Jannat 2,2012
36303737,/m/0k2kq5b,Lisammayude Veedu,2013
14718396,/m/03gvbfz,Ultraman Cosmos vs. Ultraman Justice: The Final Battle,2003
33850044,/m/0hn8qv_,Doraemon: Nobita and The Island of Miracles ~Animal Adventure~,2012
31436921,/m/0gkzqt0,The Detective 2,2011
13417746,/m/03c4n2s,Kamilla and the Thief II,1989
3992931,/m/0bbhr8,Ureme 2,1986
9800777,/m/02pslr7,How High 2,
26271238,/m/0b76bkk,Angels' Alley,1948
13729100,/m/03cggkv,Alla vi barn i Bullerbyn,1989
21298120,/m/05f4ymr,The Ritual,2009
28234430,/m/0cnypgl,The Happy Cricket and the Giant Bugs,2009
19059310,/m/04jlbnq,Cicakman 2 - Planet Hitam,2008
28329009,/m/0cny8jp,Charlie Chan's Chance,1932
22952630,/m/063y9_s,Gidget Gets Married,1972
4421925,/m/0c1fyl,Dead End Adventure,2003
9170459,/m/027_1c4,Keroro Gunso the Super Movie 2: Sinkai no Princess de Arimasu!,2007
5309958,/m/025tfm6,Frosty Returns,1992
32169995,/m/0gwzmpp,Carne,1991
33477506,/m/0h98jx6,2030 – Aufstand der Alten,2007